scenMAGNET,scenagCLIM50
SSP2_BASE,SSP2_BASE
SSP2_POP1,SSP2_POP1
SSP2_GDP1,SSP2_GDP1
SSP2_LUR1,SSP2_LUR1
SSP2_PRD1,SSP2_PRD1
SSP2_CON1,SSP2_CON1
SSP2_TRD1,SSP2_TRD1
SSP2_POP3,SSP2_POP3
SSP2_GDP3,SSP2_GDP3
SSP2_LUR3,SSP2_LUR3
SSP2_PRD3,SSP2_PRD3
SSP2_CON3,SSP2_CON3
SSP2_TRD3,SSP2_TRD3
SSP2_POP4,SSP2_POP4
SSP2_GDP4,SSP2_GDP4
SSP2_LUR4,SSP2_LUR4
SSP2_PRD4,SSP2_PRD4
SSP2_CON4,SSP2_CON4
SSP2_TRD4,SSP2_TRD4
SSP2_POP5,SSP2_POP5
SSP2_GDP5,SSP2_GDP5
SSP2_LUR5,SSP2_LUR5
SSP2_PRD5,SSP2_PRD5
SSP2_CON5,SSP2_CON5
SSP2_TRD5,SSP2_TRD5
SSP1_BASE,SSP1_BASE
SSP1_POP2,SSP1_POP2
SSP1_GDP2,SSP1_GDP2
SSP1_LUR2,SSP1_LUR2
SSP1_PRD2,SSP1_PRD2
SSP1_CON2,SSP1_CON2
SSP1_TRD2,SSP1_TRD2
SSP3_BASE,SSP3_BASE
SSP3_POP2,SSP3_POP2
SSP3_GDP2,SSP3_GDP2
SSP3_LUR2,SSP3_LUR2
SSP3_PRD2,SSP3_PRD2
SSP3_CON2,SSP3_CON2
SSP3_TRD2,SSP3_TRD2
SSP4_BASE,SSP4_BASE
SSP4_POP2,SSP4_POP2
SSP4_GDP2,SSP4_GDP2
SSP4_LUR2,SSP4_LUR2
SSP4_PRD2,SSP4_PRD2
SSP4_CON2,SSP4_CON2
SSP4_TRD2,SSP4_TRD2
SSP5_BASE,SSP5_BASE
SSP5_POP2,SSP5_POP2
SSP5_GDP2,SSP5_GDP2
SSP5_LUR2,SSP5_LUR2
SSP5_PRD2,SSP5_PRD2
SSP5_CON2,SSP5_CON2
SSP5_TRD2,SSP5_TRD2
SSP2_GDPexoFLC3,SSP2_GDPexoFLC3
